8	0000149d-5c00-51f2-bef1-7507e051d6bc		10076996				species	10063277	Animalia|Arthropoda|Insecta|Coleoptera|Cerambycidae|Gnomidolon|Gnomidolon hamatum	11|235|1096|10279|100100|1013283|10063277	kingdom|phylum|class|order|family|genus|species
169	00001529-048f-538f-8cc8-8f6bcb6dd890	http://www.ubio.org/browser/details.php?namebankID=10590521	103144948	urn:lsid:ubio.org:namebank:10590521	urn:lsid:ubio.org:namebank:10590521			103144948	|Gypsophila pinifolia		kingdom|
4	00001529-048f-538f-8cc8-8f6bcb6dd890		1137865				species	1137865	|Eukaryota|Viridiplantae|Streptophyta|Streptophytina|Embryophyta|Tracheophyta|Euphyllophyta|Spermatophyta|Magnoliophyta|Mesangiospermae||Gunneridae|Pentapetalae|Caryophyllales|Caryophyllaceae|Gypsophila|Gypsophila pinifolia	131567|2759|33090|35493|131221|3193|58023|78536|58024|3398|1437183|71240|91827|1437201|3524|3568|146094|1137865	|superkingdom|kingdom|phylum|||||||||||order|family|genus|species
168	000015e3-a5f0-5b95-999e-d03cb47669b0	http://www.organismnames.com/details.htm?lsid=857385	126375336				Species	126375336			
168	00001616-a51e-5fde-9801-05ceaa5ade10	http://www.organismnames.com/details.htm?lsid=1577757	127023447				Species	127023447			
169	000019ea-e2fe-56ba-a984-958ff79bb966	http://www.ubio.org/browser/details.php?namebankID=9165858	101987634	urn:lsid:ubio.org:namebank:9165858	urn:lsid:ubio.org:namebank:9165858			101987634	|Galega pulchella		kingdom|
169	00001cc2-a9c5-5790-bc5c-b324d757395e	http://www.ubio.org/browser/details.php?namebankID=351437	93998874	urn:lsid:ubio.org:namebank:351437	urn:lsid:ubio.org:namebank:351437			93998874	|Homosetia fuscocristatella		kingdom|
1	00001feb-9621-5263-8c98-f90ac815c14f		21454454				species	21454454	Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae|Dudleya|Dudleya pachyphytum	21835323|21835324|21835325|21836120|21845373|22051266|21454454	kingdom|phylum|class|order|family|genus|species
169	00002035-5f76-5562-9383-04b3e3337ead	http://www.ubio.org/browser/details.php?namebankID=10511522	103065949	urn:lsid:ubio.org:namebank:10511522	urn:lsid:ubio.org:namebank:10511522			103065949	|Calamus melanoloma		kingdom|
169	00002441-7949-5be6-bcf3-ffe9f8557518	http://www.ubio.org/browser/details.php?namebankID=7025102	99939576	urn:lsid:ubio.org:namebank:7025102	urn:lsid:ubio.org:namebank:7025102			99939576	|Allochernes creticus		kingdom|
169	00002604-6599-5cf5-bd55-b1d7b61e9c7b	http://www.ubio.org/browser/details.php?namebankID=3146425	96354987	urn:lsid:ubio.org:namebank:3146425	urn:lsid:ubio.org:namebank:3146425			96354987	|Ascochyta fragariicola		kingdom|
164	0000264a-75b6-5025-9902-6d7e29c51e55	http://www.biolib.cz/en/taxon/id443448/	142165962				Species	142165962			
158	0000264a-75b6-5025-9902-6d7e29c51e55		144869381					144869381			
12	0000264a-75b6-5025-9902-6d7e29c51e55	http://eol.org/pages/3123134	30645274		3123134			30645274			
169	00002694-5595-5b95-8a1a-409a8062d00a	http://www.ubio.org/browser/details.php?namebankID=4974946	97954289	urn:lsid:ubio.org:namebank:4974946	urn:lsid:ubio.org:namebank:4974946			97954289	|Galeodila somalica		kingdom|
7	00002694-5595-5b95-8a1a-409a8062d00a		3087132				species	3087132	|Cellular life|Eukaryota|Opisthokonts|Choanoflagellates and animals|Animalia|Epitheliates|Bilateria|Ecdysozoa|Legged ecdysozoa|Arthropoda|Cheliceriformes|Chelicerata|Arachnida|Solifugae|Galeodidae|Galeodila|Galeodila somalica	2822864|2823207|2828118|2843765|2843766|2843767|2843768|17974913|2910040|2910041|2910042|3070996|3070997|3070998|3086505|3086923|3087127|3087132	|above family|above family|above family|above family|unranked|above family|above family|above family|above family|above family|above family|above family|above family|above family|family|genus|species
12	000026b1-a02e-5d2a-8b5f-30495413babc	http://eol.org/pages/11648607	28658494		11648607			28658494			
4	000026b1-a02e-5d2a-8b5f-30495413babc		402434					402434	|||Orthomyxoviridae|Influenzavirus|||	10239|439488|35301|11308|197911|11320|119213|402434	superkingdom|||family|genus|species||
169	000027a8-b990-59ed-a89e-17c500ad53d1	http://www.ubio.org/browser/details.php?namebankID=3635828	96844252	urn:lsid:ubio.org:namebank:3635828	urn:lsid:ubio.org:namebank:3635828			96844252	|Lepidosaphes bicuspis		kingdom|
168	000027a8-b990-59ed-a89e-17c500ad53d1	http://www.organismnames.com/details.htm?lsid=3583347	128915309				Species	128915309			
169	000027e3-65c3-570f-be35-329ecac73c3f	http://www.ubio.org/browser/details.php?namebankID=2441013	95652648	urn:lsid:ubio.org:namebank:2441013	urn:lsid:ubio.org:namebank:2441013			95652648	|Nothoprodontia boliviana		kingdom|
168	000028ad-6940-5352-8138-1b3904707512	http://www.organismnames.com/details.htm?lsid=819291	126339878				Species	126339878			
169	00002ba3-24f0-5f21-ab1b-96fd47655df5	http://www.ubio.org/browser/details.php?namebankID=8876884	101698766	urn:lsid:ubio.org:namebank:8876884	urn:lsid:ubio.org:namebank:8876884			101698766	|Myrcia subsericea		kingdom|
170	00002bb6-2167-57ec-aafb-cad4ea4b4092		2502868		2502868			2502868	Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Diplasia|Diplasia karataefolia		kingdom|phylum|class|order|family|genus|
167	00002bb6-2167-57ec-aafb-cad4ea4b4092	http://ipni.org/urn:lsid:ipni.org:names:306585-1:1.2	306585-1	urn:lsid:ipni.org:names:306585-1:1.2	306585-1		species	306585-1	Cyperaceae|Diplasia karataefolia		
11	00002bb6-2167-57ec-aafb-cad4ea4b4092		5527061				species	5527061	Plantae|Magnoliophyta|Liliopsida|Poales|Cyperaceae|Diplasia|Diplasia karataefolia	6|49|196|1369|7708|2718554|5527061	kingdom|phylum|class|order|family|genus|species
11	00002d94-50d0-5ac6-8ca5-09b85d46ba79		1843085				species	1843085	Animalia|Arthropoda|Insecta|Lepidoptera|Gelechioidea|Cosmopterigidae|Hyposmochoma|Hyposmochoma empedota	1|54|216|797|1676|8839|1843070|1843085	kingdom|phylum|class|order|superfamily|family|genus|species
8	00002d94-50d0-5ac6-8ca5-09b85d46ba79		10769442				species	10769442	Animalia|Arthropoda|Insecta|Lepidoptera|Cosmopterigidae|Hyposmochoma|Hyposmochoma empedota	11|235|1096|12144|111272|1039478|10769442	kingdom|phylum|class|order|family|genus|species
1	00002d94-50d0-5ac6-8ca5-09b85d46ba79		10670522				species	10670522	Animalia|Arthropoda|Insecta|Lepidoptera|Gelechioidea|Cosmopterigidae|Hyposmochoma|Hyposmochoma empedota	21835313|21835328|21835526|21835808|21843698|21843727|21915515|10670522	kingdom|phylum|class|order|superfamily|family|genus|species
169	00002e38-b926-56da-bde2-f09e775cde1f	http://www.ubio.org/browser/details.php?namebankID=587615	94195232	urn:lsid:ubio.org:namebank:587615	urn:lsid:ubio.org:namebank:587615			94195232			
12	00002e38-b926-56da-bde2-f09e775cde1f	http://eol.org/pages/2697407	36635668		2697407		genus	36635668			
11	00002e38-b926-56da-bde2-f09e775cde1f		4296055				genus	4296055	Animalia|Arthropoda|Insecta|Diptera|Scenopinidae|Lucidomphrale	1|54|216|811|3526|4296055	kingdom|phylum|class|order|family|genus
3	00002e38-b926-56da-bde2-f09e775cde1f		132201				Genus	132201	Animalia|Bilateria|Protostomia|Ecdysozoa|Arthropoda|Hexapoda|Insecta|Pterygota|Neoptera|Holometabola|Diptera|Brachycera|Muscomorpha|Scenopinidae|Lucidomphrale	202423|914154|914155|914158|82696|563886|99208|100500|563890|914213|118831|130052|131750|132049|132201	Kingdom|Subkingdom|Infrakingdom|Superphylum|Phylum|Subphylum|Class|Subclass|Infraclass|Superorder|Order|Suborder|Infraorder|Family|Genus
169	00002e49-5cc6-5644-968e-2995b4ba15c1	http://www.ubio.org/browser/details.php?namebankID=9326833	102148517	urn:lsid:ubio.org:namebank:9326833	urn:lsid:ubio.org:namebank:9326833			102148517	|Campanula nephrophylla		kingdom|
165	00002e49-5cc6-5644-968e-2995b4ba15c1	http://www.tropicos.org/Name/5504608	145477305				Species	145477305			
12	00002e49-5cc6-5644-968e-2995b4ba15c1	http://eol.org/pages/5132985/names/synonyms	s_9457862		5132985		species	34521254			
4	00002ef5-6ab9-51cb-9ed4-2e5de1ccb268		1394063					1394063	|Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae||Lachnospiraceae bacterium	131567|2|1239|186801|186802|186803|186928|1394063	|superkingdom|phylum|class|order|family||
169	00002f9e-a663-5022-9555-f56401c43773	http://www.ubio.org/browser/details.php?namebankID=5673728	98604876	urn:lsid:ubio.org:namebank:5673728	urn:lsid:ubio.org:namebank:5673728			98604876	|Glochinema bathyperuvensis		kingdom|
4	00003038-5bbc-5032-b527-59cb428811a0		1242550				species	1242550	|Bacteria||	131567|2|48479|1242550	|superkingdom||species
